Country,Region,Producer,Number_of_Bags,Country_Partner,Harvest_Year,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Total_Cup_Points,Moisture,Category_One_Defects,Quakers,Color,Category_Two_Defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters,Weight,Colors
united states,antioquia,hugo sepúlveda montoya,10,almacafé,2014,7.67,8.17,8,8,8.17,8.08,10,10,10,8.08,86.17,0,0,0,others,0,1941,1941,1941,1,bluish-green
thailand,chiang rai,itdp,53,specialty coffee association,2012,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,86.17,0.1,1,0,green,9,1300,1300,1300,1,green
brazil,sul de minas - carmo de minas,maria rogeria costa pereira,300,specialty coffee association,2010,8.17,7.92,7.92,7.75,8.33,8,10,10,10,8.08,86.17,0.08,0,0,others,2,12,12,12,60,bluish-green
brazil,sul de minas - carmo de minas,maria rogeria costa pereira,300,specialty coffee association,2010,8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,86.17,0.01,0,0,others,3,12,12,12,60,bluish-green
taiwan,natou county,lin yen chien 林言謙,10,specialty coffee association,2015,8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,8.42,86.08,0.12,0,0,green,0,1000,1000,1000,15,green
kenya,nyeri,jungle estate,12,kenya coffee traders association,2014,8.08,8.08,8,8,7.83,8.08,10,10,10,8,86.08,0.11,0,0,bluish-green,2,1754,1754,1754,60,bluish-green
brazil,south of minas,ralph junqueira,7,nucoffee,2011,8.33,8,8,8,7.75,8,10,10,10,8,86.08,0.11,0,0,bluish-green,2,1250,1250,1250,60,bluish-green
uganda,eastern uganda,kaasay farmer group,1,uganda coffee development authority,2014,8.08,8.08,7.83,7.92,8.08,7.92,10,10,10,8.08,86,0,0,0,others,0,others,others,others,60,bluish-green
colombia,tolima,others,1,specialty coffee association,2013,7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,86,0.12,1,0,green,1,900,1500,1200,2,green
kenya,kiambu,others,1,specialty coffee association,2013,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,86,0.11,0,0,green,1,1520,2200,1860,1,green
uganda,"sipi, mt elgon",kawacom,1,africa fine coffee association,2012,8.25,8,7.83,8.08,8,7.92,10,10,10,7.92,86,0.1,0,0,bluish-green,0,1400,1900,1650,60,bluish-green
ethiopia,sidamo,sidama coffee farmers coop. union,300,ethiopia commodity exchange,2009,7.75,8.08,8,8.25,8,8,10,10,10,7.92,86,0.01,0,0,others,4,1500,2000,1750,6,bluish-green
united states (hawaii),kona,hula daddy kona coffee,1,specialty coffee association,2009,8.33,8.17,7.75,8,7.75,7.83,10,10,10,8.17,86,0,0,0,others,0,426.72,426.72,426.72,2,bluish-green
guatemala,nuevo oriente,margarita avila de nuyens,80,asociacion nacional del café,2016,7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,8,85.92,0.1,0,1,green,3,others,others,others,69,green
uganda,eastern,kawacom (u)ltd,1,uganda coffee development authority,2013,8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8,85.92,0.12,0,0,green,0,1400,1900,1650,60,green
colombia,huila,others,275,almacafé,2013,8,8,8,8.17,7.83,8,10,10,10,7.92,85.92,0,1,0,bluish-green,0,1800,1800,1800,70,bluish-green
panama,boquete,plinio ruiz,37,specialty coffee association of costa rica,2017,8,8,7.92,8.08,7.83,8,10,10,10,8,85.83,0.08,0,1,bluish-green,0,1600,1600,1600,60,bluish-green
ethiopia,oromia,ibrahim hussien specialty coffee producer and exporter,320,metad agricultural development plc,2014,7.83,8.08,7.92,8.08,8,7.92,10,10,10,8,85.83,0.1,0,0,green,4,1800,2000,1900,60,green
guatemala,acatenango,sertrasa,150,asociacion nacional del café,2012,7.83,8,8,8.17,7.83,8,10,10,10,8,85.83,0.12,0,0,green,3,1524,1524,1524,1,green
guatemala,nuevo oriente,william estuardo martinez pacheco,275,asociacion nacional del café,2012,8,8,7.83,8.33,7.83,7.83,10,10,10,8,85.83,0.1,0,0,bluish-green,1,1417.32,1417.32,1417.32,1,bluish-green
ethiopia,addis ababa,seid damtew coffee export and plantation,320,metad agricultural development plc,2017,7.83,8,7.83,8.17,7.92,8,10,10,10,8,85.75,0.09,0,4,others,7,others,others,others,19200,bluish-green
peru,cajamarca,others,280,specialty coffee association,2013,8,8,8,8.08,7.92,7.75,10,10,10,8,85.75,0.1,4,0,green,6,others,others,others,5,green
papua new guinea,eastern highlands province,"colbran coffeelands, ltd.",7,specialty coffee association,2012,8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,85.75,0.12,0,0,bluish-green,1,1700,1700,1700,60,bluish-green
el salvador,apaneca,aida batlle,275,specialty coffee association,2013,7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,85.58,0.1,0,0,bluish-green,3,1500,1500,1500,2,bluish-green
el salvador,"ataco, apaneca - ilamatepec mountain range",oscar roberto murgas linares,19,specialty coffee association,2012,7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,85.58,0.11,0,0,others,0,1300,1400,1350,1,bluish-green
united states (hawaii),kona,others,8,specialty coffee association,2012,7.83,8,7.92,7.75,8.08,8,10,10,10,8,85.58,0,0,0,others,1,others,others,others,100,bluish-green
panama,boquete,lamastus,100,blossom valley international,2014,8,7.75,7.83,7.83,7.67,8.58,10,10,10,7.83,85.5,0.09,2,0,others,2,1680,1680,1680,60,bluish-green
kenya,kirinyaga,others,16,blossom valley international,2014,7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,8,85.5,0.1,0,0,green,3,1900,1900,1900,60,green
ethiopia,oromia,assefa belay coffee producer,320,metad agricultural development plc,2015,7.83,8,7.83,7.92,7.83,8.08,10,10,10,8,85.5,0.12,0,0,green,7,1800,2000,1900,60,green
uganda,bulambuli eastern region,kyagalanyi coffee ltd,320,uganda coffee development authority,2013,8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,8.08,85.5,0.12,0,0,green,1,1600,1600,1600,60,green
guatemala,huehuetenango,asociacion de permacultores de cuilco (santos lopez mejia),250,asociacion nacional del café,2013,8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,85.5,0.11,0,0,green,1,1706.88,1755.648,1731.264,69,green
ethiopia,oromia,assefa belay coffee producer,320,metad agricultural development plc,2015,7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,8.08,85.42,0.1,0,0,green,18,1800,2000,1900,60,green
uganda,kapchorwa,chesiyo farmer group,150,uganda coffee development authority,2013,8.08,8,7.83,7.67,8,7.83,10,10,10,8,85.42,0.12,0,0,green,5,1950,1950,1950,60,green
united states (hawaii),kona,others,8,specialty coffee association,2012,7.92,7.92,7.75,7.92,7.75,7.92,10,10,10,8.25,85.42,0,4,0,others,6,others,others,others,100,bluish-green
brazil,south of minas,josé vagner ribeiro junqueira,5,nucoffee,2011,8,8,8,7.67,7.75,8,10,10,10,8,85.42,0.11,0,0,bluish-green,1,1250,1250,1250,60,bluish-green
el salvador,apaneca,j. hill y cia sa de cv,2,specialty coffee association,2009,8.08,7.83,7.83,8.08,7.83,7.83,10,10,10,7.92,85.42,0.01,0,0,others,0,1400,1400,1400,1,bluish-green
china,yunnan,pu'er city longke coffee co.ltd,3,yunnan coffee exchange,2015,8,8,8,7.83,7.83,7.75,10,10,10,7.92,85.33,0.1,0,0,green,0,1700,1700,1700,60,green
guatemala,huehuetenango,arturo aguirre,36,blossom valley international,2014,7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,85.33,0.11,0,0,green,1,1770,1770,1770,30,green
costa rica,west valley,cafe altura de san ramon,250,specialty coffee association,2014,7.92,8.08,8,7.92,8,8.08,10,10,9.33,8,85.33,0,0,0,bluish-green,0,1300,1300,1300,3,bluish-green
costa rica,san ramon,several,250,specialty coffee association,2014,8,7.58,7.58,7.67,8.08,8.5,10,10,10,7.92,85.33,0.1,0,0,bluish-green,2,1300,1300,1300,3,bluish-green
kenya,central kenya,kianjogu - rutuma f.c.s. ltd.,20,kenya coffee traders association,2012,7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,7.92,85.33,0,0,0,green,2,1600,1600,1600,60,green
kenya,central kenya,blend from various producers,300,kenya coffee traders association,2012,8,7.92,7.92,8.08,7.83,7.75,10,10,10,7.83,85.33,0,0,0,green,6,1200,1200,1200,60,green
ethiopia,yirgacheffe,"contact name | egziabhez mezgebe, gmt industrial plc",360,ethiopia commodity exchange,2009,7.83,7.83,7.92,8.08,7.75,7.83,10,10,10,8.08,85.33,0.05,0,0,others,2,others,others,others,6,bluish-green
ethiopia,yirgacheffe,contact name | hailu gebre hiwot,300,ethiopia commodity exchange,2009,7.92,7.83,7.75,8.33,7.75,7.75,10,10,10,8,85.33,0.1,0,0,others,3,others,others,others,6,bluish-green
guatemala,oriente,margarita avila de nuyens,250,asociacion nacional del café,2016,8,7.92,7.75,8,7.92,7.83,10,10,10,7.83,85.25,0.1,0,2,green,2,others,others,others,69,green
colombia,santander,varios,275,almacafé,2015,8.17,7.92,7.83,8,7.58,7.83,10,10,10,7.92,85.25,0.11,0,0,green,0,1550,1550,1550,70,green
colombia,santander,others,250,almacafé,2014,7.58,8.08,7.92,7.83,8,7.92,10,10,10,7.92,85.25,0.12,0,0,green,2,1550,1550,1550,70,green
indonesia,lintong,others,54,specialty coffee association,2012,7.75,7.83,7.67,8,8.08,7.83,10,10,10,8,85.17,0.11,0,0,green,3,1250,1400,1325,60,green
guatemala,huehuetenango,coop. hoja blanca - fedecocagua,250,specialty coffee association,2012,8.25,8,7.67,7.92,7.75,7.67,10,10,10,7.92,85.17,0,0,0,others,7,1400,1400,1400,1,bluish-green
ethiopia,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",seid damtew coffee planation,320,metad agricultural development plc,2016,7.75,8,7.58,8,8,7.92,10,10,10,7.83,85.08,0.11,0,1,green,8,others,others,others,19200,green
colombia,pasto,jose albeiro gomez / luis jaber realpe,250,almacafé,2015,8.17,7.83,7.58,8.08,8,7.75,10,10,10,7.67,85.08,0,0,0,others,0,2560,2560,2560,70,bluish-green
ethiopia,aricha,bnt,100,specialty coffee association,2014,8.42,8,7.42,8,7.92,7.92,9.33,10,10,8.08,85.08,0.1,2,0,green,7,1700,1700,1700,60,green
united states (hawaii),kona,others,12,specialty coffee association,2014,7.58,7.83,7.83,7.92,7.83,8.17,10,10,10,7.92,85.08,0.11,2,0,bluish-green,2,others,others,others,100,bluish-green
colombia,cundinamarca,orlando ortiz /wilson ortiz/gilberto acosta,250,almacafé,2012,7.83,8,7.75,7.75,7.83,7.83,10,10,10,8.08,85.08,0.11,0,0,green,8,2136,2136,2136,70,green
united states (hawaii),kona,kona pacific farmers cooperative,13,specialty coffee association,2010,8.08,8.17,7.92,8,8.08,8,9.33,9.33,10,8.17,85.08,0.01,1,0,others,7,others,others,others,100,bluish-green
ethiopia,sidamo,exporter name | muluneh kaka | phone: 0114390290,360,ethiopia commodity exchange,2010,7.67,8,7.83,8,7.92,7.83,10,10,10,7.83,85.08,0,0,0,others,5,others,others,others,6,bluish-green
united states (hawaii),kona,others,27,specialty coffee association,others,7.5,7.92,8.25,7.83,7.92,7.75,10,10,10,7.92,85.08,0,0,0,others,0,others,others,others,0,bluish-green
uganda,eastern uganda,kyagalanyi coffee ltd,200,uganda coffee development authority,2016,8.17,7.92,7.75,7.75,7.67,7.75,10,10,10,8,85,0.11,0,0,green,1,1800,1800,1800,60,green
colombia,huila,la plata,135,almacafé,2016,8,7.92,7.75,7.92,7.75,7.83,10,10,10,7.83,85,0,0,0,green,3,others,others,others,70,green
costa rica,tarrazu,manuel montero,36,specialty coffee association,2016,7.83,8,7.58,7.92,7.92,7.83,10,10,10,7.92,85,0.12,1,1,green,1,1900,1900,1900,46,green
mexico,veracruz,varios productores minifundistas,1,centro agroecológico del café a.c.,2015,7.83,8,7.83,7.75,7.67,7.83,10,10,10,8.08,85,0.09,0,0,green,3,1300,1300,1300,30,green
kenya,others,others,170,kenya coffee traders association,2015,8.17,7.83,7.92,7.75,7.67,7.83,10,10,10,7.83,85,0.11,0,5,green,7,1,1,1,60,green
kenya,central kenya,others,38,kenya coffee traders association,2012,7.75,7.83,7.75,8.08,8,7.75,10,10,10,7.83,85,0,0,0,green,5,1580,1580,1580,60,green
brazil,grama valley,idalina m. de andrade ferreira,31,nucoffee,2012,8,8,7.83,7.83,7.67,7.67,10,10,10,8,85,0.12,0,0,green,3,1100,1100,1100,60,green
mexico,mexico,finca kassandra,1,specialty coffee association,2010,7.92,8.17,7.75,8.08,7.42,7.83,10,10,10,7.83,85,0,0,0,others,0,1400,1400,1400,1,bluish-green
united states (hawaii),kona,others,15,specialty coffee association,others,7.75,7.92,7.75,7.75,8,8,10,10,10,7.83,85,0,0,0,others,1,others,others,others,100,bluish-green
guatemala,"chuva, san marcos",federico weller,275,specialty coffee association,2009,7.83,8.08,7.67,8,7.75,7.67,10,10,10,8,85,0.04,0,0,others,1,1066.8,1584.96,1325.88,69,bluish-green
colombia,huila,la plata,243,almacafé,2016,7.92,7.92,7.67,7.83,7.92,7.83,10,10,10,7.83,84.92,0,1,6,others,2,others,others,others,70,bluish-green
colombia,huila,la plata,252,almacafé,2015,7.92,7.83,7.75,7.83,7.75,8,10,10,10,7.83,84.92,0.12,0,0,green,1,1600,1950,1775,70,green
taiwan,natou county,su chuen shian 蘇春賢,20,specialty coffee association,2015,7.67,7.83,8,7.58,8,7.92,10,10,10,7.92,84.92,0.11,0,0,green,0,800,800,800,40,green
"tanzania, united republic of",mbeya,hasambo amcos,134,africa fine coffee association,2014,8,7.83,7.83,7.92,7.75,7.75,10,10,10,7.83,84.92,0.12,0,0,green,2,1620,1620,1620,60,green
colombia,huila,la plata,50,almacafé,2012,7.75,7.92,7.83,7.75,7.75,8,10,10,10,7.92,84.92,0.11,0,0,green,3,1600,1950,1775,70,green
mexico,coatepec,artemio zapata tejeda,25,amecafe,2012,7.75,8,7.75,7.83,7.5,7.92,10,10,10,8.17,84.92,0.11,0,0,others,0,1200,1200,1200,1,bluish-green
brazil,south of minas,glaucio carneiro pinto,4,nucoffee,2011,8,7.92,7.75,7.75,8,7.75,10,10,10,7.75,84.92,0.11,0,0,green,2,1200,1200,1200,60,green
brazil,south of minas,ricardo luiz ferreira,10,nucoffee,2011,8,8,7.75,8,7.5,7.75,10,10,10,7.92,84.92,0.12,0,0,green,2,1000,1000,1000,60,green
kenya,others,others,320,specialty coffee association,2009,8,7.67,7.83,8.17,7.92,7.75,10,10,10,7.58,84.92,0.06,1,0,others,9,others,others,others,60,bluish-green
taiwan,"dongshan dist., tainan city 臺南市東山區",wang chao yung 王超永,10,specialty coffee association,2016,7.92,7.58,7.83,7.83,7.83,7.83,10,10,10,8,84.83,0,0,0,green,0,350,350,350,20,green
uganda,eastern,sipi organic coffee project,1,uganda coffee development authority,2013,7.75,7.92,7.67,7.67,8.25,7.75,10,10,10,7.83,84.83,0.12,0,0,green,1,1400,1900,1650,60,green
united states (hawaii),kona,others,14,specialty coffee association,2012,7.67,7.75,7.75,7.75,7.83,8,10,10,10,8.08,84.83,0,3,0,others,15,others,others,others,100,bluish-green
ethiopia,sidamo,sidama coffee farmers coop. union,300,ethiopia commodity exchange,2009,7.75,7.92,7.83,7.92,7.75,7.67,10,10,10,8,84.83,0.1,0,0,others,2,1500,2000,1750,6,bluish-green
ethiopia,sidamo,sidama coffee farmers coop. union,300,ethiopia commodity exchange,2009,7.42,7.92,7.92,8,7.83,7.83,10,10,10,7.92,84.83,0.1,0,0,others,4,1500,2000,1750,6,bluish-green
thailand,thailand,matsuzawa coffee,50,specialty coffee institute of asia,2015,7.75,7.75,7.75,7.75,8,7.75,10,10,10,8,84.75,0.12,0,0,green,0,others,others,others,50,green
kenya,nyeri,karatina,150,kenya coffee traders association,2014,7.92,7.83,7.58,7.92,7.75,7.83,10,10,10,7.92,84.75,0.13,0,0,green,0,1800,1800,1800,60,green
honduras,marcala,omar acosta,275,instituto hondureño del café,2014,7.83,7.75,8,7.67,7.67,7.67,10,10,10,8.17,84.75,0.11,0,0,green,4,1450,1450,1450,1,green
el salvador,santa ana,several producers,250,specialty coffee association,2010,7.75,8,8,8.33,7.67,7.92,10,10,9.33,7.75,84.75,0.15,0,0,others,3,1200,1200,1200,69,bluish-green
nicaragua,jinotega,juan alvaro munguia,2,specialty coffee association,2009,7.83,7.58,7.58,7.83,7.75,7.67,10,10,10,8.5,84.75,0.18,0,0,others,2,800,1050,925,6,bluish-green
el salvador,apaneca,j.j. borja nathan,150,salvadoran coffee council,2016,7.83,7.83,7.5,8,7.83,7.67,10,10,10,8,84.67,0,0,0,bluish-green,2,1350,1350,1350,69,bluish-green
indonesia,"temanggung, indonesia",pt. shriya artha nusantara,2,specialty coffee association of indonesia,2016,7.92,7.83,7.75,7.75,7.75,7.75,10,10,10,7.92,84.67,0.12,0,0,green,7,1200,1200,1200,1,green
japan,ada okinawa japan,taijiro tokuda,20,specialty coffee institute of asia,others,7.75,7.75,7.75,7.42,8.08,7.83,10,10,10,8.08,84.67,0.12,0,0,green,0,170,170,170,1,green
costa rica,tarrazu,johanna,15,specialty coffee association of costa rica,2015,8.08,7.75,7.67,7.83,7.5,7.92,10,10,10,7.92,84.67,0.1,0,0,bluish-green,2,1150,1150,1150,69,bluish-green
guatemala,acatenango,juan bock,120,asociacion nacional del café,2015,7.75,7.83,7.58,8,7.92,7.75,10,10,10,7.83,84.67,0.1,0,0,green,1,1600,1600,1600,34,green
costa rica,tarrazu,coopetarrazú,50,specialty coffee association of costa rica,2014,8.17,8,7.83,7.17,7.83,7.75,10,10,10,7.92,84.67,0.12,0,0,green,0,1750,1750,1750,1,green
ethiopia,yirgacheffe,moplaco,250,blossom valley international,2014,8.08,7.83,7.75,7.83,7.58,7.67,10,10,10,7.92,84.67,0.1,0,0,others,3,1900,1900,1900,30,bluish-green
costa rica,costa rica,maria elena castro,20,blossom valley international,2014,7.67,7.58,7.75,7.75,7.67,8.58,10,10,10,7.67,84.67,0.08,0,0,green,1,1750,1750,1750,69,green
costa rica,west valley,coricafe blend,275,specialty coffee association of costa rica,2014,8,7.58,7.83,7.75,7.75,7.75,10,10,10,8,84.67,0.11,0,0,green,4,1200,1200,1200,1,green
costa rica,others,others,1,specialty coffee association,2012,8.08,7.83,7.75,7.83,7.92,8,10,10,9.33,7.92,84.67,0,1,0,green,10,others,others,others,2,green
taiwan,taichung xinshe 台中市新社區,gu yong long 古永龍,10,blossom valley international,2013,8,7.92,7.75,7.75,7.75,7.75,10,10,10,7.75,84.67,0.11,0,0,green,0,1000,1000,1000,30,green
colombia,santander,others,250,almacafé,2013,7.75,7.83,7.75,7.83,7.75,7.83,10,10,10,7.92,84.67,0,0,0,green,0,1550,1550,1550,70,green
kenya,nyeri,sasini,235,specialty coffee institute of asia,2012,7.75,7.92,7.83,8,7.58,7.75,10,10,10,7.83,84.67,0.11,0,0,bluish-green,0,2000,2000,2000,60,bluish-green
guatemala,oriente,agropecuaria quiagral,250,asociacion nacional del café,2012,8,7.83,7.67,7.83,7.67,8,10,10,10,7.67,84.67,0.11,0,0,green,4,1310.64,1310.64,1310.64,1,green
guatemala,acatenango,sertrasa,125,asociacion nacional del café,2012,7.67,7.83,7.67,8,7.67,7.83,10,10,10,8,84.67,0.12,0,0,green,4,1524,1524,1524,1,green
mexico,el remudadero,"jorge torres beltran, vicente hernandez ochoa, ignacio torres",80,amecafe,2012,7.83,7.58,7.67,7.92,7.92,7.83,10,10,10,7.92,84.67,0.13,0,0,others,3,1200,1200,1200,1,bluish-green
uganda,mbale,others,320,africa fine coffee association,2012,7.92,7.83,7.75,7.92,7.67,7.75,10,10,10,7.83,84.67,0.11,0,0,bluish-green,3,1700,1850,1775,60,bluish-green
